Materias o asignaturas;Abreviatura;Nombre largo;Departamento;Es de tutoría;Prof. Técnico;Lectivas;Clave externa;Se imparte en cursos
FRA1-1ESO;FRA1-1ESO;Francés 1º ESO;<ninguno>;;;4;;1 ESO
FRA1-2BACH;FRA1-2BACH;Francés 2º Bach;<ninguno>;;;3;;2 Bach (CT), 2 Bach (HCS)
FRA1-2BNoc;FRA1-2BNoc;Francés primer idioma 2ºBNocturno;<ninguno>;;;;;
FRA1-2ESO;FRA1-2ESO;Francés 2º ESO;<ninguno>;;;8;;2PMAR, 2 ESO
FRA1-3ESO;FRA1-3ESO;Francés 3º ESO;<ninguno>;;;3;;3 ESO
FRA1-4ESO;FRA1-4ESO;Francés 4º ESO;<ninguno>;;;4;;4 ESO
FRA1-SFr1ESO;FRA1-SFr1ESO;Frances 1 Sección Bilingüe France´s 1ESO;<ninguno>;;;;;1 ESO
FRA1-SFr2ESO;FRA1-SFr2ESO;Frances 1 sección bilingüe Frances 2ESO;<ninguno>;;;;;2 ESO
FRA1-SFr3ESO;FRA1-SFr3ESO;Francés 1sección bil frances 3ESO;<ninguno>;;;3;;3 ESO
FRA1-SFr4ESO;FRA1-SFr4ESO;Francés 1 Sección Francés 4ESO;<ninguno>;;;4;;4 ESO
FRA2-1B G1;;FRA2-1B G1;<ninguno>;;;;;
FRA2-1B G2;FRA2-1B G2;Francés 2 1º Bach Grupo 2;<ninguno>;;;;;
FRA2-1Bach;FRA2-1Bach;Francés 2 1º Bachillerato;<ninguno>;;;4;;1 Bach (CT), 1 Bach (HCS)
FRA2-1BNoc;FRA2-1BNoc;Francés segundo idioma 1ºBNocturno;<ninguno>;;;;;
FRA2-1ESO;FRA2-1ESO;Francés 2 1º ESO;<ninguno>;;;6;;1 ESO
FRA2-2BACH;FRA2-2BACH;Francés 2 de 2 bachillerato;<ninguno>;;;3;;
FRA2-2BN;FRA2-2BN;Francés 2 2º Bach Nocturno;<ninguno>;;;;;2 Bach (CT), 2 Bach (HCS)
FRA2-2ESO;FRA2-2ESO;Francés 2 2º ESO;<ninguno>;;;6;;2 ESO
FRA2-3ESO;FRA2-3ESO;Francés 2 3º ESO;<ninguno>;;;4;;3 ESO
FRA2-4ESO G1;FRA2-4ESO G1;Francés 2- 4º ESO Grupo1;<ninguno>;;;2;;4 ESO
FRA2-4ESO G2;FRA2-4ESO G2;Francés 2-4ESO Grupo 2;<ninguno>;;;;;4 ESO
FRA3-4ESO;FRA3-4ESO;France´s de 3 horas de 4ESO;<ninguno>;;;3;;4 ESO
Geo 2Bach-G1;GEO2BACH-G1;Geografía 2º Bach G1;<ninguno>;;;4;;2 Bach (HCS)
Geo 2Bach-G2;GEO2BACH-G2;Geografía 2º Bach G2;<ninguno>;;;4;;
GEOG-2BHCNoc;GEOG-2BHCNoc;Geografía 2º Bachillerato hum y CCSS Nocturno.;<ninguno>;;;4;;2BCS
Geol 2Bach;GEOL-2BACH;Geología 2º Bach CT;<ninguno>;;;;;2 Bach (CT)
GH_SBFr-2ESO;GH_SBFr-2ESO;Geografía e Historia Sección Bilingüe Frances 2ESO;<ninguno>;;;;;
GH-1ESO;GH-1ESO;Geografía-Histotia 1º ESO;<ninguno>;;;15;;1 ESO
GH-2ESO;GH-2ESO;Geografía-Historia  2º ESO;<ninguno>;;;24;;2 ESO
